,,,,,,SR ROUTE PLAN,,,
,,,,,,,,,
,,,,,,,,,
SL No,Region ,Area,Territory,"Distribution 
point/Dealer/ Sub-Distributor",Route,Section,CLUSTER,,
38,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,A, Commissioner Goli," Commissioner Goli"",",""" Commissioner Goli"","
39,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,B, Bangla Motors," Bangla Motors"",",""" Bangla Motors"","
40,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,A, Crescent Rose," Crescent Rose"",",""" Crescent Rose"","
41,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,B, Eastern Plaza," Eastern Plaza"",",""" Eastern Plaza"","
42,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,A, Green Center," Green Center"",",""" Green Center"","
43,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,B, Motalab Plaza," Motalab Plaza"",",""" Motalab Plaza"","
44,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,A, Nasrullahar Bari," Nasrullahar Bari"",",""" Nasrullahar Bari"","
45,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,B, Poribag Bazar," Poribag Bazar"",",""" Poribag Bazar"","
46,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,A, poribagh," poribagh"",",""" poribagh"","
47,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,B, Poribag Mosjid," Poribag Mosjid"",",""" Poribag Mosjid"","
48,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,A, Pukur Par Mosjid," Pukur Par Mosjid"",",""" Pukur Par Mosjid"","
49,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,B, Somoy TV," Somoy TV"",",""" Somoy TV"","
50,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,A, Purkur Par," Purkur Par"",",""" Purkur Par"","
51,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,B, Sonargaon Road  ," Sonargaon Road  "",",""" Sonargaon Road  "","
52,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,4,A, Vuter Goli," Vuter Goli"",",""" Vuter Goli"","
53,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,5,A,Bow Bazar,"Bow Bazar"",","""Bow Bazar"","
54,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,5,B,Box Culvert,"Box Culvert"",","""Box Culvert"","
55,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,5,A, Comfort Hospital," Comfort Hospital"",",""" Comfort Hospital"","
56,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,5,B, Caffee Noor Hotel," Caffee Noor Hotel"",",""" Caffee Noor Hotel"","
57,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,5,A, Gestolever Goli," Gestolever Goli"",",""" Gestolever Goli"","
58,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,5,B, Free School Street," Free School Street"",",""" Free School Street"","
59,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,5,A, Lake Circus," Lake Circus"",",""" Lake Circus"","
60,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,5,B, Green Road," Green Road"",",""" Green Road"","
61,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,5,A, Lal Fokir M.R," Lal Fokir M.R"",",""" Lal Fokir M.R"","
62,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,5,A, New Bow Bazar," New Bow Bazar"",",""" New Bow Bazar"","
63,Dhaka,Dhaka East,Dhanmondi,Dhanmondi,5,A, Rasel Square," Rasel Square"",",""" Rasel Square"","
